Sex,PhDSchool,FirstPosition,FirstType,CurrentPosition,CurrentPositionType,Dissertation,PrimaryAreaOfStudy,YearGraduated,SoughtAcademicEmployment?,Other Job ,Other Academic Location,Other Academic Field
Unknown,University of Rochester,Unknown,Unknown,Academica Sinica,Tenure Track/Permanent,Unknown,Philosophy of Mind,1991,Yes,,,
Male,University of Western Ontario,Acadia University,Tenure Track/Permanent,Acadia University,Tenured,“Blindsight: An Essay in the Philosophy of Psychology and Mind”,Philosophy of Mind,1999,,,,
Male,University of Western Ontario,Acadia University,Tenure Track/Permanent,Acadia University,Tenured,“The Pluralist Critique of Liberalism”,Social and Political Philosophy,2003,,,,
Male,Brown University,Unknown,Unknown,Adelphi University,Lecturer,Taking Seriously the Metaphysics of Mental Causation: A Nonreductivist Account,Metaphysics,2013,yes,,,
Male,Florida State University,Albion College,Tenure Track/Permanent,Albion College,Tenure Track/Permanent,"Dissertation Title: ""Material Migration and Aristotelian Metaphysics""",Metaphysics,2005,,,,
Unknown,University of Rochester,Unknown,Unknown,Albion College,Tenure Track/Permanent,Unknown,Epistemology,2009,Yes,,,
Unknown,"University of Texas, Austin",Alfred University,Tenure Track/Permanent,Alfred University,Tenure Track/Permanent,Unknown,Unknown,1996,,,,
Female,University of Connecticut,Alfred University ,Tenure Track/Permanent,Alfred University ,Tenure Track/Permanent,Images as Speech Acts.,Philosophy of Language,1995,,,,
Male,Columbia University,"Allon Fellowhsip for Outstanding Young Researchers, Israeli Council for Higher Educ ation",Lecturer,"Allon Fellowhsip for Outstanding Young Researchers, Israeli Council for Higher Educ ation",Lecturer,Obtaining Knowledge from Authorities,Epistemology,2006,,,,
Unknown,University of Arizona,Alvernia College,Tenure Track/Permanent,Alvernia College,Tenure Track/Permanent,"Modularity of Mind, Encapsulation by Nature",Philosophy of Mind,2000,,,,
Male,"University of California, Irvine",East Stroudsberg University,Lecturer,American InterContinental University,Lecturer,"""Sartre's Phenomenological Ontology and the German Idealist Tradition""",Metaphysics,2004,,,,
Male,"University of California, Davis",American River College,Tenure Track/Permanent,American River College,Tenured,Unknown,Unknown,1992,,,,
Female,"University of Massachusetts, Amherst",Unknown,Unknown,American University,Tenured,Unknown,Unknown,2003,,,,
Male,Northwestern University,"American University, Beirut",Tenure Track/Permanent,"American University, Beirut",Tenure Track/Permanent,Nietzsche's Project of Creating New Values in Beyond Good and Evil,Ethics,2003,Yes,,,
